,IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
113351,1048835.0,0,0.83,'C',5,0,62,50,'B1','Regular',461,'R53'
290603,2192935.0,0,1.0,'A',5,10,52,50,'B2','Diesel',27,'R24'
566863,4158041.0,0,0.85,'C',6,10,32,80,'B2','Diesel',393,'R91'
634350,5096990.0,0,0.06,'C',9,0,69,50,'B12','Regular',381,'R93'
181975,1181976.0,0,1.0,'D',4,7,56,50,'B2','Regular',1057,'R72'
51825,105305.0,0,0.38,'E',6,8,50,50,'B1','Diesel',4762,'R93'
501263,4029778.0,0,0.4,'B',4,2,54,50,'B12','Regular',100,'R82'
609319,5033468.0,0,0.02,'D',10,2,33,76,'B12','Regular',645,'R94'
135988,1096877.0,0,1.0,'C',6,9,41,50,'B1','Diesel',388,'R24'
551527,4142705.0,0,0.52,'B',10,19,54,50,'B2','Diesel',71,'R24'
180093,1180094.0,0,0.95,'D',6,14,57,50,'B2','Regular',604,'R91'
160108,1137181.0,0,1.0,'C',7,10,41,57,'B2','Diesel',104,'R53'
1639,3391.0,1,0.8,'C',4,0,48,80,'B12','Regular',225,'R94'
320543,2235023.0,0,0.21,'E',7,2,46,72,'B1','Regular',5460,'R11'
566949,4158127.0,0,0.13,'D',4,11,26,95,'B2','Regular',1054,'R24'
662808,6089003.0,0,0.63,'C',12,1,47,50,'B12','Diesel',402,'R82'
262467,2124603.0,0,1.0,'E',5,2,59,50,'B1','Diesel',2377,'R82'
146711,1115902.0,0,0.25,'B',5,9,37,70,'B5','Diesel',91,'R22'
101644,1022982.0,0,0.35,'C',8,11,50,50,'B10','Diesel',208,'R52'
348590,2281737.0,0,0.86,'D',5,14,53,50,'B2','Regular',1011,'R74'
270195,2140447.0,0,0.3,'A',7,13,45,50,'B1','Regular',32,'R52'
434181,3154701.0,0,0.96,'C',5,8,26,90,'B4','Diesel',165,'R53'
104998,1030346.0,0,1.0,'C',6,8,48,50,'B3','Diesel',165,'R53'
310320,2222131.0,0,0.81,'B',5,17,59,50,'B3','Regular',99,'R54'
31626,65387.0,0,1.0,'C',5,4,47,50,'B1','Regular',204,'R82'
172660,1164984.0,2,0.46,'D',9,14,49,62,'B1','Regular',983,'R52'
476462,3242105.0,0,0.07,'C',5,4,39,53,'B5','Regular',426,'R91'
209433,2019263.0,0,0.1,'E',5,0,26,85,'B12','Regular',2983,'R31'
284496,2182023.0,0,1.0,'C',10,10,47,64,'B12','Diesel',251,'R25'
53502,108955.0,0,0.16,'A',5,14,41,50,'B1','Regular',13,'R24'
553867,4145045.0,0,0.02,'B',5,2,79,50,'B1','Regular',54,'R82'
30755,63823.0,0,0.96,'E',4,1,64,50,'B2','Diesel',3317,'R93'
546233,4137411.0,0,1.0,'B',6,5,67,50,'B10','Diesel',89,'R25'
70086,148270.0,1,0.72,'C',10,11,52,50,'B1','Regular',214,'R24'
661141,6084529.0,0,0.28,'E',11,8,50,50,'B12','Regular',2563,'R11'
119866,1063312.0,0,0.86,'E',7,1,35,50,'B3','Diesel',4762,'R93'
615678,5051450.0,0,0.05,'E',8,1,43,50,'B12','Regular',3946,'R82'
44561,89787.0,0,0.31,'C',11,24,53,50,'B1','Diesel',129,'R52'
462292,3202481.0,0,0.04,'C',9,0,56,50,'B12','Diesel',105,'R24'
65591,139998.0,0,0.34,'E',5,12,51,84,'B2','Diesel',2715,'R24'
14560,34375.0,0,0.16,'B',7,17,32,51,'B1','Regular',88,'R24'
604209,5018381.0,0,0.43,'E',7,7,45,50,'B12','Regular',3132,'R11'
121601,1067381.0,0,0.39,'D',4,12,44,50,'B6','Regular',1448,'R93'
346575,2279722.0,0,0.08,'A',8,1,26,90,'B10','Regular',24,'R52'
203716,2008725.0,0,0.12,'E',5,2,26,80,'B12','Regular',6902,'R41'
551994,4143172.0,0,1.0,'B',4,13,32,64,'B6','Regular',66,'R93'
424709,3138201.0,0,1.0,'B',5,2,37,53,'B2','Diesel',58,'R24'
215997,2037444.0,0,0.31,'C',10,0,51,50,'B12','Regular',458,'R93'
275209,2152383.0,0,0.7,'D',10,6,26,90,'B2','Regular',534,'R11'
525492,4116670.0,0,1.0,'B',5,15,35,53,'B1','Diesel',81,'R24'
660839,6083356.0,0,0.29,'E',5,3,73,50,'B12','Regular',3997,'R11'
3889,8324.0,1,0.2,'C',7,7,27,80,'B12','Regular',367,'R31'
291840,2195088.0,0,0.53,'A',5,6,65,50,'B1','Diesel',26,'R24'
556797,4147975.0,0,1.0,'C',6,9,77,50,'B12','Regular',180,'R23'
629750,5087610.0,0,0.83,'D',5,0,27,85,'B12','Diesel',841,'R91'
316872,2228699.0,0,0.08,'E',5,1,60,62,'B2','Regular',2648,'R31'
504354,4037191.0,0,0.29,'E',7,1,54,50,'B12','Diesel',4656,'R11'
37424,75910.0,0,0.37,'D',9,14,56,50,'B10','Regular',1557,'R82'
529084,4120262.0,1,0.73,'D',6,12,38,56,'B1','Diesel',1017,'R25'
172175,1163907.0,0,1.0,'D',5,5,53,50,'B1','Regular',675,'R91'
339475,2272621.0,0,1.0,'C',10,11,35,50,'B12','Regular',190,'R93'
357730,3002383.0,0,0.28,'D',6,5,28,90,'B12','Regular',1005,'R73'
463808,3206070.0,0,0.38,'D',7,11,56,50,'B2','Regular',568,'R24'
669218,6101359.0,0,0.17,'C',6,8,31,95,'B12','Diesel',102,'R93'
409260,3105666.0,0,1.0,'D',10,11,76,50,'B5','Diesel',1699,'R91'
494689,4014128.0,0,0.45,'E',4,3,44,50,'B12','Regular',5106,'R11'
437892,3160494.0,0,0.85,'E',11,6,42,50,'B3','Regular',5539,'R11'
42341,85450.0,0,0.36,'B',4,14,50,114,'B1','Regular',58,'R82'
655316,6059660.0,0,0.0027397260273972603,'E',5,2,72,50,'B12','Regular',3075,'R72'
164547,1146799.0,0,0.35,'A',7,4,62,50,'B1','Regular',30,'R24'
391205,3063621.0,0,1.0,'D',4,11,33,80,'B4','Regular',949,'R24'
75432,157869.0,0,0.24,'A',7,5,43,50,'B2','Diesel',31,'R24'
164722,1147190.0,0,0.49,'C',5,7,47,50,'B5','Diesel',335,'R24'
477834,3243477.0,0,0.07,'E',7,10,35,80,'B1','Diesel',4128,'R52'
290870,2193402.0,0,0.78,'D',4,6,32,50,'B6','Regular',1408,'R52'
402636,3090734.0,0,1.0,'B',6,18,59,50,'B10','Diesel',83,'R31'
366150,3020724.0,0,0.12,'D',4,2,59,50,'B12','Regular',507,'R93'
58215,126073.0,0,0.16,'E',6,4,72,50,'B1','Diesel',4116,'R24'
68555,145466.0,0,0.18,'C',5,2,30,80,'B1','Regular',208,'R82'
297124,2204650.0,0,1.0,'C',5,18,37,72,'B1','Regular',116,'R93'
286095,2184930.0,0,1.0,'E',5,1,49,50,'B3','Regular',2103,'R25'
674520,6110838.0,0,0.03,'C',8,0,58,50,'B12','Diesel',388,'R93'
503274,4034607.0,0,0.57,'E',4,1,36,50,'B12','Diesel',4762,'R93'
19894,44137.0,0,0.15,'C',6,1,64,50,'B2','Diesel',121,'R24'
405760,3097708.0,0,0.11,'B',6,2,42,50,'B2','Regular',64,'R24'
123382,1071364.0,0,0.27,'B',9,13,69,50,'B13','Diesel',98,'R31'
152693,1123500.0,0,0.12,'B',4,8,42,50,'B6','Regular',85,'R93'
397158,3077793.0,0,0.22,'B',6,6,60,50,'B3','Regular',66,'R93'
70631,149264.0,0,0.02,'D',9,1,74,50,'B2','Regular',614,'R24'
412053,3112024.0,0,0.79,'C',6,5,37,60,'B1','Diesel',138,'R24'
200337,2002402.0,0,0.54,'E',7,6,56,62,'B12','Diesel',5912,'R41'
326471,2259616.0,0,0.07,'C',4,13,50,50,'B3','Diesel',327,'R91'
569807,4160985.0,0,0.15,'D',11,4,29,100,'B10','Regular',713,'R52'
400437,3085555.0,0,1.0,'C',9,8,69,50,'B13','Regular',129,'R82'
440015,3163520.0,0,0.8,'D',4,1,36,85,'B2','Diesel',634,'R53'
482333,3248172.0,0,0.16,'D',9,11,30,72,'B1','Regular',1278,'R82'
62595,134339.0,0,0.69,'E',5,0,58,50,'B2','Diesel',3946,'R82'
622706,5068410.0,0,0.19,'E',7,1,32,80,'B12','Diesel',3184,'R11'
270369,2140840.0,0,1.0,'C',6,1,44,50,'B1','Diesel',155,'R24'
241124,2086136.0,0,1.0,'B',11,24,46,50,'B1','Diesel',53,'R24'
279155,2163228.0,0,0.1,'B',9,12,46,60,'B1','Regular',57,'R24'
443419,3168071.0,0,0.18,'C',8,13,42,50,'B6','Diesel',405,'R24'
136537,1097727.0,0,0.63,'D',6,9,30,76,'B1','Diesel',575,'R53'
221832,2052857.0,0,1.0,'C',6,4,70,50,'B12','Regular',451,'R52'
164707,1147161.0,1,1.0,'C',7,14,53,100,'B1','Regular',405,'R24'
671132,6104927.0,0,0.74,'D',4,2,49,50,'B12','Regular',1422,'R82'
218908,2047499.0,0,1.0,'B',4,16,86,50,'B1','Regular',91,'R24'
215087,2035423.0,0,0.06,'A',11,0,71,50,'B12','Diesel',33,'R72'
393880,3069985.0,0,0.33,'C',8,17,42,73,'B13','Diesel',105,'R24'
233450,2072893.0,0,1.0,'A',5,7,34,57,'B4','Diesel',11,'R24'
439101,3162248.0,0,0.87,'D',7,10,31,90,'B1','Regular',856,'R24'
23853,51234.0,0,0.2,'F',6,6,27,100,'B1','Diesel',22821,'R11'
657162,6067287.0,0,0.08,'F',4,2,41,86,'B12','Regular',27000,'R11'
341462,2274608.0,0,0.08,'E',5,8,31,68,'B4','Regular',3301,'R73'
418086,3125187.0,0,0.32,'D',5,1,62,50,'B2','Diesel',1323,'R82'
536653,4127831.0,1,1.0,'E',5,6,54,50,'B3','Regular',3317,'R93'
412133,3112199.0,0,1.0,'E',6,11,53,50,'B1','Diesel',9307,'R82'
579174,4170352.0,0,0.21,'D',7,3,90,50,'B1','Regular',884,'R82'
184735,1184736.0,0,1.0,'E',6,3,49,65,'B2','Regular',3744,'R93'
86086,177022.0,0,0.87,'E',4,1,37,95,'B3','Regular',3744,'R93'
369647,3027763.0,0,0.36,'A',5,4,47,50,'B12','Diesel',6,'R72'
482855,3248775.0,0,0.08,'C',5,10,34,80,'B4','Diesel',201,'R72'
36411,74004.0,1,0.38,'D',9,9,51,50,'B2','Regular',1313,'R24'
360372,3008057.0,0,0.78,'C',6,5,35,57,'B12','Diesel',169,'R91'
274306,2149879.0,0,0.51,'E',7,1,22,80,'B2','Regular',3688,'R82'
365177,3018537.0,0,0.26,'A',7,7,43,54,'B12','Diesel',33,'R26'
342134,2275280.0,0,0.94,'C',5,12,19,100,'B5','Diesel',316,'R82'
658343,6071681.0,0,0.19,'E',7,2,62,85,'B12','Regular',2719,'R41'
217259,2040400.0,0,0.04,'A',8,0,69,50,'B12','Diesel',49,'R82'
319276,2231103.0,0,0.08,'D',5,12,29,72,'B6','Regular',1127,'R24'
294417,2199626.0,1,1.0,'A',7,11,47,65,'B11','Regular',16,'R52'
34855,71081.0,0,0.25,'B',5,4,30,50,'B3','Diesel',75,'R24'
181616,1181617.0,0,0.42,'C',6,8,42,50,'B2','Diesel',111,'R23'
300645,2210622.0,0,1.0,'B',5,10,48,53,'B5','Diesel',98,'R53'
491031,4005467.0,0,0.1,'E',7,10,37,80,'B12','Diesel',3465,'R11'
437583,3160045.0,0,0.07,'A',15,0,53,65,'B12','Regular',22,'R73'
74702,156554.0,0,1.0,'A',4,8,60,50,'B1','Regular',29,'R24'
396480,3076120.0,0,1.0,'E',4,16,59,50,'B1','Regular',3317,'R93'
605951,5023373.0,0,0.8,'D',5,2,37,50,'B1','Diesel',562,'R54'
481826,3247617.0,0,0.08,'C',7,13,40,56,'B2','Diesel',269,'R91'
654360,6056467.0,0,0.45,'D',4,2,34,85,'B12','Regular',1001,'R11'
55666,114525.0,0,0.44,'E',4,0,25,50,'B1','Regular',3301,'R73'
458538,3194177.0,0,0.66,'C',9,12,42,50,'B13','Regular',461,'R53'
508238,4045485.0,0,0.06,'D',7,4,30,76,'B3','Diesel',721,'R93'
477232,3242875.0,0,0.07,'E',7,6,57,85,'B6','Regular',6157,'R31'
80807,167636.0,0,0.83,'C',7,4,48,72,'B1','Regular',182,'R82'
291079,2193768.0,0,0.98,'D',7,13,66,50,'B2','Regular',1296,'R24'
423085,3134989.0,0,0.44,'D',7,9,72,50,'B1','Diesel',1326,'R93'
109606,1040498.0,1,0.46,'E',4,5,42,50,'B1','Regular',8549,'R82'
536770,4127948.0,0,1.0,'D',7,14,51,50,'B3','Regular',1600,'R24'
327023,2260168.0,0,1.0,'E',5,1,66,50,'B2','Regular',3963,'R91'
308691,2220502.0,0,0.53,'E',4,1,40,50,'B2','Regular',4128,'R52'
586257,4177435.0,0,0.66,'D',5,12,45,67,'B2','Diesel',1165,'R53'
113058,1048218.0,0,0.17,'C',12,12,27,85,'B10','Diesel',179,'R54'
747,1554.0,1,0.09,'D',15,0,39,56,'B12','Regular',778,'R22'
232713,2071586.0,0,0.56,'F',6,3,49,64,'B2','Regular',15703,'R11'
340259,2273405.0,0,0.08,'E',6,2,56,50,'B1','Regular',2278,'R11'
379446,3041412.0,0,0.04,'B',6,1,38,50,'B12','Diesel',79,'R93'
545592,4136770.0,1,0.87,'C',7,4,64,50,'B11','Diesel',398,'R82'
638751,5106161.0,0,0.08,'C',5,0,73,50,'B12','Regular',160,'R82'
498531,4023154.0,0,0.19,'E',4,2,39,56,'B12','Diesel',3991,'R21'
579216,4170394.0,0,0.57,'D',4,0,77,50,'B1','Regular',1468,'R31'
262612,2124852.0,0,0.5,'D',7,1,19,100,'B2','Regular',531,'R82'
658281,6071427.0,0,0.12,'B',8,3,51,50,'B13','Diesel',67,'R94'
205354,2011743.0,0,0.46,'C',4,7,24,156,'B2','Diesel',165,'R22'
566062,4157240.0,0,1.0,'B',6,10,51,50,'B2','Diesel',78,'R82'
403514,3092885.0,0,0.27,'D',7,11,23,85,'B2','Regular',1199,'R52'
481185,3246976.0,0,0.08,'C',7,11,35,51,'B2','Regular',241,'R82'
371731,3030794.0,0,0.08,'D',8,0,59,50,'B12','Diesel',883,'R93'
57955,125576.0,0,1.0,'C',7,6,53,51,'B1','Diesel',155,'R24'
254470,2110015.0,0,0.16,'C',7,13,33,60,'B2','Regular',176,'R54'
351498,2284646.0,0,0.08,'D',5,11,31,80,'B2','Diesel',851,'R52'
543837,4135015.0,0,1.0,'C',10,12,41,50,'B2','Diesel',214,'R26'
250823,2103383.0,0,0.17,'C',4,0,50,50,'B1','Diesel',191,'R24'
311061,2222877.0,0,0.08,'C',9,15,42,50,'B1','Regular',199,'R82'
396443,3076029.0,1,1.0,'E',6,8,52,50,'B2','Regular',3317,'R93'
306119,2217929.0,0,0.08,'E',5,2,29,57,'B2','Regular',2105,'R82'
157163,1130845.0,0,0.29,'C',7,14,57,50,'B2','Regular',295,'R24'
245409,2093540.0,0,1.0,'C',5,3,75,50,'B6','Regular',227,'R54'
346609,2279756.0,0,0.08,'C',6,10,56,50,'B2','Diesel',298,'R24'
106892,1034475.0,0,0.58,'C',4,9,31,60,'B1','Regular',298,'R24'
192829,1192830.0,0,0.49,'E',8,3,52,50,'B13','Regular',7590,'R11'
18303,41117.0,0,1.0,'D',6,18,22,95,'B3','Regular',857,'R82'
480166,3245809.0,0,0.07,'C',6,7,32,50,'B2','Diesel',330,'R82'
93830,1011851.0,0,0.91,'B',6,4,29,76,'B12','Regular',67,'R72'
24547,52594.0,0,0.84,'C',6,10,60,80,'B1','Diesel',405,'R24'
579869,4171047.0,0,0.96,'C',8,2,24,72,'B3','Diesel',458,'R93'
126241,1077414.0,0,1.0,'D',7,8,69,50,'B2','Diesel',1386,'R31'
303984,2215794.0,0,0.49,'D',4,3,55,57,'B6','Regular',1232,'R93'
119651,1062835.0,0,1.0,'E',4,14,34,50,'B5','Diesel',2377,'R82'
391609,3064496.0,0,1.0,'C',4,14,68,50,'B2','Regular',270,'R24'
577877,4169055.0,0,0.9,'E',5,3,33,61,'B2','Diesel',3688,'R82'
444995,3170220.0,0,0.07,'C',13,0,52,50,'B11','Diesel',398,'R82'
473068,3238132.0,0,0.08,'B',9,20,35,57,'B3','Regular',54,'R52'
627999,5082820.0,0,0.2,'C',8,2,44,50,'B12','Diesel',310,'R11'
19102,42514.0,1,1.0,'C',9,4,36,95,'B6','Regular',229,'R53'
557843,4149021.0,0,1.0,'B',7,4,58,50,'B1','Diesel',72,'R24'
87995,1001855.0,0,0.8,'E',11,1,59,50,'B12','Diesel',6913,'R11'
195203,1195204.0,0,1.0,'C',7,10,37,50,'B6','Diesel',104,'R93'
327354,2260499.0,0,1.0,'A',8,14,38,50,'B1','Diesel',44,'R23'
352870,2286018.0,0,0.49,'C',5,1,67,58,'B2','Diesel',279,'R91'
572181,4163359.0,0,0.25,'A',4,15,38,50,'B2','Regular',38,'R93'
475466,3240756.0,0,0.16,'C',5,14,39,50,'B2','Diesel',164,'R42'
114353,1051109.0,0,0.49,'D',9,11,27,68,'B2','Regular',1329,'R11'
454241,3184333.0,0,0.06,'D',7,4,47,50,'B2','Regular',1279,'R23'
147686,1117296.0,0,1.0,'B',5,2,32,50,'B2','Diesel',91,'R24'
102411,1024548.0,0,1.0,'B',6,12,63,50,'B2','Regular',78,'R24'
62686,134507.0,0,1.0,'A',8,3,59,50,'B10','Diesel',43,'R54'
36729,74611.0,0,0.39,'D',5,14,51,50,'B2','Diesel',1601,'R41'
499236,4024842.0,0,0.05,'C',6,3,32,95,'B12','Diesel',159,'R72'
238867,2082253.0,1,1.0,'D',7,8,64,58,'B4','Diesel',1397,'R41'
340919,2274065.0,0,0.08,'E',7,18,31,70,'B2','Diesel',3317,'R93'
96792,1014814.0,0,0.21,'C',4,0,33,54,'B12','Regular',210,'R82'
305804,2217614.0,0,0.08,'D',5,8,32,50,'B3','Diesel',1448,'R93'
109617,1040525.0,0,1.0,'C',5,6,28,60,'B1','Regular',139,'R82'
182564,1182565.0,0,0.18,'E',6,4,41,72,'B12','Regular',2715,'R93'
590299,4181477.0,0,0.87,'E',6,14,41,60,'B1','Diesel',9307,'R82'
393867,3069955.0,0,1.0,'B',8,29,74,50,'B2','Regular',50,'R24'
429707,3147064.0,0,1.0,'D',6,14,83,50,'B2','Regular',1064,'R24'
676800,6113118.0,0,0.18,'D',8,0,34,54,'B12','Regular',721,'R93'
349973,2283121.0,0,0.08,'C',7,11,35,64,'B2','Regular',299,'R21'
668630,6100250.0,0,0.52,'E',5,1,66,50,'B12','Regular',4762,'R93'
28445,59673.0,0,0.6,'C',6,12,41,50,'B12','Diesel',119,'R24'
363369,3014566.0,0,0.45,'D',6,5,64,50,'B12','Diesel',1403,'R93'
445773,3171007.0,0,0.2,'B',6,4,22,95,'B3','Diesel',91,'R24'
495099,4015105.0,0,0.23,'C',9,3,38,51,'B2','Regular',343,'R82'
74431,156064.0,0,0.07,'A',6,4,36,57,'B2','Diesel',32,'R82'
585805,4176983.0,0,1.0,'E',10,12,41,50,'B1','Regular',3744,'R93'
202708,2006831.0,1,0.7,'A',5,2,66,50,'B12','Regular',11,'R74'
374964,3034053.0,0,0.11,'C',11,1,57,100,'B12','Regular',204,'R91'
152993,1123800.0,0,0.15,'D',7,9,18,95,'B2','Regular',854,'R82'
130295,1085788.0,0,0.22,'B',6,2,51,50,'B1','Diesel',94,'R53'
673129,6109166.0,0,0.66,'C',8,1,40,50,'B12','Diesel',322,'R31'
274920,2151776.0,0,0.01,'C',7,7,34,95,'B11','Regular',326,'R31'
168427,1155539.0,0,1.0,'E',5,2,57,52,'B2','Regular',5449,'R82'
69888,147913.0,0,1.0,'B',4,11,29,60,'B1','Diesel',80,'R24'
286698,2186024.0,0,1.0,'A',13,14,45,50,'B1','Diesel',32,'R24'
412731,3113624.0,0,0.28,'D',4,1,50,55,'B3','Diesel',1704,'R82'
7337,21010.0,1,1.0,'D',5,1,53,50,'B4','Diesel',634,'R53'
270021,2140076.0,0,0.17,'C',4,13,21,100,'B3','Diesel',206,'R82'
88356,1002569.0,0,0.71,'F',5,1,35,50,'B12','Regular',17140,'R11'
355547,2288696.0,0,0.08,'A',5,11,60,72,'B2','Regular',32,'R73'
89334,1004430.0,0,0.63,'E',5,5,26,90,'B3','Diesel',7259,'R31'
459537,3196494.0,0,0.69,'A',4,9,62,50,'B2','Regular',17,'R24'
354994,2288143.0,0,0.08,'E',10,4,51,90,'B2','Regular',4059,'R23'
595749,4186927.0,0,0.24,'C',7,5,47,50,'B1','Regular',141,'R82'
450075,3175352.0,0,0.24,'D',4,12,45,50,'B13','Regular',839,'R82'
105473,1031390.0,0,0.41,'C',5,8,50,50,'B1','Regular',214,'R26'
572624,4163802.0,1,1.0,'A',8,16,53,71,'B1','Diesel',10,'R24'
321484,2248048.0,0,0.36,'C',9,16,60,50,'B1','Regular',314,'R73'
522034,4084057.0,0,0.2,'C',4,2,47,50,'B12','Regular',171,'R93'
145367,1113657.0,0,0.28,'D',5,0,25,68,'B2','Diesel',1408,'R52'
448454,3173731.0,0,0.39,'E',6,15,22,100,'B1','Diesel',4128,'R52'
422444,3133847.0,0,1.0,'A',9,1,29,60,'B1','Diesel',23,'R83'
535433,4126611.0,0,1.0,'C',6,7,80,50,'B2','Diesel',282,'R72'
530927,4122105.0,0,0.16,'C',5,5,26,106,'B1','Diesel',151,'R93'
190497,1190498.0,0,0.49,'E',11,16,49,54,'B2','Regular',6736,'R11'
305811,2217621.0,0,0.08,'E',5,1,55,72,'B2','Regular',3744,'R93'
381103,3043439.0,0,0.53,'E',4,0,25,118,'B12','Regular',3021,'R53'
276392,2155252.0,0,0.08,'C',7,16,38,100,'B2','Diesel',107,'R11'
461749,3201653.0,0,1.0,'B',7,17,58,50,'B1','Regular',57,'R26'
197379,1197380.0,0,0.56,'C',4,9,50,50,'B5','Regular',269,'R91'
242876,2089191.0,0,0.93,'B',9,15,49,50,'B1','Regular',61,'R52'
167154,1152593.0,0,1.0,'B',5,5,76,50,'B1','Regular',57,'R24'
562689,4153867.0,0,1.0,'D',6,1,58,50,'B3','Diesel',1397,'R41'
313328,2225144.0,0,0.08,'E',7,4,43,62,'B2','Regular',8455,'R82'
403624,3093162.0,0,1.0,'C',6,12,36,57,'B5','Diesel',110,'R54'
626084,5077245.0,0,0.95,'B',10,7,47,50,'B12','Diesel',52,'R73'
495082,4015060.0,0,0.45,'C',7,3,27,68,'B12','Regular',354,'R31'
234834,2075293.0,0,1.0,'E',8,1,66,50,'B2','Diesel',2038,'R82'
585803,4176981.0,0,1.0,'D',7,8,60,50,'B2','Diesel',1313,'R24'
84615,174363.0,0,1.0,'D',12,1,35,50,'B10','Regular',1410,'R72'
110277,1042140.0,0,0.13,'D',6,14,55,50,'B2','Regular',644,'R53'
639203,5106948.0,0,0.15,'C',4,0,38,57,'B12','Diesel',251,'R83'
185306,1185307.0,0,0.12,'C',6,0,33,85,'B3','Diesel',342,'R93'
537024,4128202.0,0,0.51,'A',6,13,46,50,'B1','Diesel',46,'R52'
9850,25772.0,0,0.03,'C',4,1,39,54,'B1','Diesel',213,'R74'
15609,36352.0,0,1.0,'E',5,5,33,51,'B5','Diesel',4116,'R24'
306494,2218304.0,0,0.08,'C',9,1,33,50,'B2','Regular',245,'R93'
235309,2076113.0,0,1.0,'E',4,6,52,57,'B5','Regular',3317,'R93'
259349,2118911.0,0,1.0,'E',7,17,67,50,'B11','Diesel',3744,'R93'
545577,4136755.0,0,1.0,'D',11,4,42,50,'B11','Diesel',1521,'R82'
566595,4157773.0,0,0.84,'A',10,14,41,50,'B1','Diesel',14,'R24'
477682,3243325.0,0,0.07,'D',6,16,59,50,'B2','Regular',604,'R91'
351484,2284632.0,0,0.08,'D',6,7,43,54,'B6','Diesel',993,'R82'
106367,1033320.0,0,1.0,'D',4,4,59,50,'B1','Regular',1974,'R54'
367873,3024358.0,0,0.8,'A',4,2,55,50,'B12','Regular',38,'R52'
286553,2185759.0,0,0.63,'A',7,14,42,50,'B1','Regular',24,'R24'
448224,3173501.0,0,0.67,'C',8,5,65,80,'B13','Diesel',120,'R91'
669518,6101924.0,0,0.59,'C',10,3,57,50,'B12','Regular',128,'R24'
250612,2102869.0,0,0.09,'D',6,16,49,64,'B1','Diesel',1329,'R11'
171242,1161793.0,0,1.0,'C',6,6,67,50,'B1','Diesel',182,'R24'
4505,9885.0,1,0.15,'B',5,0,33,100,'B12','Regular',82,'R21'
645779,6021651.0,0,0.05,'E',7,2,43,50,'B12','Diesel',2019,'R11'
30367,63114.0,0,0.5,'E',4,11,40,51,'B5','Regular',4762,'R93'
52047,105766.0,0,1.0,'C',7,12,29,54,'B1','Regular',110,'R25'
47866,96766.0,0,0.99,'C',11,4,39,50,'B13','Regular',259,'R24'
584714,4175892.0,0,1.0,'A',6,4,72,50,'B2','Diesel',25,'R24'
353967,2287116.0,0,0.08,'D',4,8,41,50,'B3','Regular',851,'R52'
629895,5087867.0,0,0.5,'E',8,0,57,76,'B12','Diesel',6913,'R11'
40810,82366.0,0,1.0,'A',7,11,45,50,'B1','Diesel',23,'R74'
175907,1172396.0,0,0.51,'D',11,7,30,60,'B4','Regular',1210,'R82'
300186,2209878.0,0,0.72,'D',5,16,47,50,'B1','Regular',634,'R53'
84945,174967.0,0,0.2,'C',7,14,41,50,'B2','Regular',298,'R54'
228849,2064963.0,0,1.0,'D',7,6,35,50,'B2','Regular',1732,'R82'
167447,1153274.0,0,0.1,'C',4,0,57,50,'B12','Regular',146,'R53'
57888,125451.0,0,0.47,'C',6,3,53,50,'B2','Diesel',405,'R24'
312687,2224503.0,0,0.08,'D',5,15,32,64,'B1','Regular',626,'R93'
415909,3120386.0,0,1.0,'D',6,4,47,50,'B2','Regular',1313,'R24'
